编号,天关章数,天关关数,地图ID,进入等级,挑战次数,门票,门票数量,奖励物品,奖励物品数量,奖励物品绑定状态,首通额外奖励,首通额外物品数量,首通物品绑定状态,推荐战力,掉落展示物品,关卡图片,关联系统提示,通关条件图片,通关条件描述
,,,,,,,,,,,,,,,,,,,
int,int,int,int,int,,int,int,int[],int[],int[],int[],int[],int[],,int[],string,string,string,string
1,1,1,0,60,10,32000001,1,20001002;23090003,1;6,1;1,0,0,0,4800,0,null,null,null,null
2,1,2,0,60,5,32000001,3,20001002;23090003,1;2,1;1,32000001;32000002;32000006;32000003,2;4;2;4,1;1;1;1,5000,0,null,成就：伤害提升,null,null
3,1,3,0,60,10,32000001,1,20001002;23090003,1;6,1;1,0,0,0,5300,0,null,null,null,null
4,1,4,0,60,5,32000001,3,20001002;23090003,1;2,1;1,32000001;32000002;32000006;32000003,2;4;2;6,1;1;1;1,5500,0,null,null,null,null
5,1,5,0,60,10,32000001,1,20001002;23090003,1;6,1;1,0,0,0,5800,0,null,成就：伤害提升,null,null
6,1,6,0,60,2,32000001,6,20001002;23090003,5;6,1;1,32000001;32000002;32000006;32000003,4;4;2;4,1;1;1;1,6000,0,null,null,null,null
7,2,1,0,70,10,32000001,1,20001002;23090003,2;6,1;1,0,0,0,11000,0,null,成就：伤害提升,null,null
8,2,2,0,70,5,32000001,4,20001002;23090003,2;2,1;1,32000001;32000002;32000006;32000003,2;4;2;4,1;1;1;1,11500,0,null,null,null,null
9,2,3,0,70,10,32000001,1,20001002;23090003,2;6,1;1,0,0,0,11900,0,null,null,null,null
10,2,4,0,70,5,32000001,4,20001002;23090003,2;2,1;1,32000001;32000002;32000006;32000003,2;4;2;6,1;1;1;1,12400,0,null,成就：伤害提升,null,null
11,2,5,0,70,10,32000001,1,20001002;23090003,2;6,1;1,0,0,0,12800,0,null,null,null,null
12,2,6,0,70,2,32000001,7,20001002;23090003,6;6,1;1,32000001;32000002;32000006;32000003,4;4;2;4,1;1;1;1,13300,0,null,成就：伤害提升,null,null
13,3,1,0,80,10,32000001,2,20001002;23090003,2;8,1;1,0,0,0,21900,0,null,null,null,null
14,3,2,0,80,5,32000001,4,20001002;23090003,3;2,1;1,32000001;32000002;32000006;32000003,2;4;2;4,1;1;1;1,22600,0,null,null,null,null
15,3,3,0,80,10,32000001,2,20001002;23090003,2;8,1;1,0,0,0,23300,0,null,成就：伤害提升,null,null
16,3,4,0,80,5,32000001,4,20001002;23090003,3;2,1;1,32000001;32000002;32000006;32000003,2;4;2;6,1;1;1;1,24000,0,null,null,null,null
17,3,5,0,80,10,32000001,2,20001002;23090003,2;8,1;1,0,0,0,24800,0,null,成就：伤害提升,null,null
18,3,6,0,80,2,32000001,8,20001002;23090003,6;8,1;1,32000001;32000002;32000006;32000003,4;4;2;4,1;1;1;1,25500,0,null,null,null,null
19,4,1,0,90,10,32000001,2,20001002;23090003,3;8,1;1,0,0,0,38700,0,null,null,null,null
20,4,2,0,90,5,32000001,5,20001002;23090003,4;2,1;1,32000001;32000002;32000006;32000003,2;4;2;4,1;1;1;1,39600,0,null,成就：伤害提升,null,null
21,4,3,0,90,10,32000001,2,20001002;23090003,3;8,1;1,0,0,0,40700,0,null,null,null,null
22,4,4,0,90,5,32000001,5,20001002;23090003,4;2,1;1,32000001;32000002;32000006;32000003,2;4;2;6,1;1;1;1,41700,0,null,成就：伤害提升,null,null
23,4,5,0,90,10,32000001,2,20001002;23090003,3;8,1;1,0,0,0,42800,0,null,null,null,null
24,4,6,0,90,2,32000001,9,20001002;23090003,7;8,1;1,32000001;32000002;32000006;32000003,4;4;2;4,1;1;1;1,44000,0,null,null,null,null
25,5,1,0,95,10,32000001,3,20001002;23090003,3;10,1;1,0,0,0,62600,0,null,成就：伤害提升,null,null
26,5,2,0,95,5,32000001,6,20001002;23090003,5;2,1;1,32000001;32000002;32000006;32000003,2;4;2;4,1;1;1;1,63900,0,null,null,null,null
27,5,3,0,95,10,32000001,3,20001002;23090003,3;10,1;1,0,0,0,65400,0,null,成就：伤害提升,null,null
28,5,4,0,95,5,32000001,6,20001002;23090003,5;2,1;1,32000001;32000002;32000006;32000003,2;4;2;6,1;1;1;1,66800,0,null,null,null,null
29,5,5,0,95,10,32000001,3,20001002;23090003,3;10,1;1,0,0,0,68400,0,null,null,null,null
30,5,6,0,95,2,32000001,10,20001002;23090003,7;10,1;1,32000001;32000002;32000006;32000003,4;4;2;4,1;1;1;1,69900,0,null,成就：伤害提升,null,null
